id,__index,title,price,image,description,category,special
"1","0","Wonton Soup","7","https://eatoutsocial.com/pages/bay101/players_menu_img/./Wonton%20Soup/1.%20wontons_1-680x952.jpg","Shrimp & Pork Dumpling, Bok Choy","soup","v0"
"2","1","Beef Pho","7","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Beef%20Pho/1.%201382451880742.jpeg","Veal Broth, Brisket, Tendon, Tripe, Meatballs, Rare Flank","soup","v0"
"3","2","Bun Bo Hue","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Bun%20Bo%20Hue/1.%20bun-bo-hue-46.jpg","Spicy Pork & Shrimp Broth, Beef Flank","soup","v0"
"4","3","Soup of the Day","4","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Soup%20of%20the%20Day/1.%20soups.jpg","Comes in a cup; can be upgraded to a bowl","soup","v0"
"5","4","Chili Soup","4","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Chili%20Soup/1.%20chili-beef-soup_extralarge1000_id-1081118.jpg","Comes in a cup; can be upgraded to a bowl","soup","gf"
"6","5","Caesar Salad","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Caesar%20Salad/1.%20ba-best-classic-caeser-salad.jpg","Romaine, Croutons, Parmesan","salad","v0"
"7","6","House Salad","6","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20House%20Salad/1.%20our-house-salad-recipe.jpg","Cherry Tomato, Mixed Green, Red Onion, Cucumbers, Sherry Dijon Vinaigrette","salad","v"
"8","7","Cobb Salad","14","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Cobb%20Salad/1.%20cobb-salad-sally-horiz-a-1800.jpg","Mixed Greens, Eggs, Bacon, Tomato, Blue Cheese Crumble, Sherry Vinaigrette","salad","v0"
"9","8","Salt & Pepper Calamari","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Salt%20&%20Pepper%20Calamari/1.%201371603969164.jpeg","Beer Battered, Fried Garlic, Chinese Salt, Jalapeno Vinaigrette","appetizer",""
"10","9","Fried Chicken Wings","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Fried%20Chicken%20Wings/2.%20img_6050.jpg","BBQ, Teriyaki, or Ranch Sauce","appetizer",""
"11","10","Vietnamese Pork Eggroll (4)","12","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Vietnamese%20Pork%20Eggroll%20(4)/1.%20egg-rolls-final.jpg","Shrimp & Pork Filling, Pickled Root Vegetables, Spicy Nuoc Mam","appetizer",""
"12","11","Classic French Fries","7","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Classic%20French%20Fries/1.%20sfs_french_20fries_20bandw_20b_001_article.jpg","","appetizer","v"
"13","12","Garlic and Parmesan Fries","9","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Garlic%20and%20Parmesan%20Fries/1.%20skinny-garlic-parmesan-fries-550x771.jpg","","appetizer","v"
"14","13","Sweet Potato Fries","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Sweet%20Potato%20Fries/1.%2028cooking-sweet-potato-fries1-videosixteenbyninejumbo1600.jpg","","appetizer","v"
"15","14","Super Nachos","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Super%20Nachos/1.%201382539863868.jpeg","Shredded Jack and Cheddar, Beans, Guacamole, Sour Cream, Pico De Gallo","appetizer","v0"
"16","15","Curry and Naan","8","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Curry%20and%20Naan/1.%20coconut-tomato-chicken-curry-861x1024.jpeg","Yellow Curry with Grilled Naan Bread","appetizer","v"
"17","16","Foot Long Hot Dog","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Foot%20Long%20Hot%20Dog/1.%20foot-long-hot-dog.jpg","Chopped Onion, Mustard, Ketchup, Relish, Fries or Salad","sandwiches&burgers",""
"18","17","Po Boy Sandwich","15","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Po%20Boy%20Sandwich/1.%20img_0517.jpg","Fried Shrimp, Baguette, Fresno Chili, Aioli, Butter Lettuce, Tomato, Fries or Salad","sandwiches&burgers",""
"19","18","Tuna Melt Sandwich","12.5","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Tuna%20Melt%20Sandwich/1.%20classic_tuna_melt.jpg","Sourdough, Tomato, Red Onion, Butter Lettuce, Cheddar or Swiss, Fries or Salad","sandwiches&burgers",""
"20","19","Turkey Club Sandwich","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Turkey%20Club%20Sandwich/1.%20detail-001.1465313338.jpg","White, Turkey, Bacon, Butter, Lettuce, Tomato, Mayonnaise, Mustard, Fries or Salad","sandwiches&burgers",""
"21","20","Grilled Cheese and Tomato Soup","9","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Grilled%20Cheese%20and%20Tomato%20Soup/1.%20large_51094.jpg","Swiss, Cheddar","sandwiches&burgers","v"
"22","21","Grilled Chicken Pesto","12","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Grilled%20Chicken%20Pesto/1.%20pesto-chicken3.jpg","Tomato, Pesto, Swiss Cheese, Potato Bun, Fries or Salad","sandwiches&burgers",""
"23","22","Cubano","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Cubano/1.%201371606019926.jpeg","Smoked Ham, Swiss Cheese, Carnitas, Pickles, Mustard, Hoagie, Fries or Salad","sandwiches&burgers",""
"24","23","BLT","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20BLT/1.%20blt.jpg","Bacon, Lettuce, Tomato, Mayo, Sourdough, Fries or Salad","sandwiches&burgers","v0"
"25","24","Classic Burger","11","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Classic%20Burger/1.%20c667aa8060427981c4a8d79502fda788.jpg","Onion Bun, Fresno Chili Aioli, Romaine, Lettuce, Red Onion, Tomato, Choice of Cheddar or Swiss, Fries or Salad","sandwiches&burgers",""
"26","25","Southern Fried Chicken Sandwich","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Southern%20Fried%20Chicken%20Sandwich/1.%20fried_chicken_sandwich_01_e91a1ce9464bb8d8e7663290859235f1.jpg","Potato Bun, Fried, Chicken Breast, Coleslaw, Fried Pickles, Onions, Tomato, Fries or Salad","sandwiches&burgers",""
"27","26","French Dip Sandwich","12","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20French%20Dip%20Sandwich/1.%20dsc_0580.jpg","Sliced Ribeye, Beef Aujus, Baguette, Fries or Salad","sandwiches&burgers",""
"28","27","Banh Mi - Baguette","10","https://eatoutsocial.com/pages/bay101/players_menu_img/./%20Banh%20Mi%20Baguette/1.%20banh-mi-baguette-ultimate-sandwich-wyza-com-au.jpg","Vietnamese Mayo, Grilled Pork, Pickled daikon and carrots, Jalapeno, Cilantro, Cucumber","sandwiches&burgers","v0"
